fid,Region,Departemen,Commune,Designatio,No_IRH,Long,Lat,Entreprise,Type_Ouvra,Date_Recep,Aquifere,Prof__Tota,X_dd,Y_dd,ProfTOt
14,DAKAR,DAKAR,Grand-Yoff,DAKAR Front de Terre,10-2X-0023,"-17°27'20""","14°43'45""",COFOR,Forage,1973/02/10,Infrabasaltique,83.7,-17.4555555556,14.7291666667,83.7
15,DAKAR,DAKAR,Grand-Yoff,DAKAR Point  N TER,10-2X-0004,"-17°27'00""","14°44'37""",SASIF,Forage,1964/09/06,Infrabasaltique,81.5,-17.45,14.7436111111,81.5
16,DAKAR,DAKAR,Grand-Yoff,DAKAR Point M,10-2X-0003,"-17°27'45""","14°44'47""",HYDRAF,Forage,1947/04/19,Infrabasaltique,108,-17.4625,14.7463888889,108
17,DAKAR,DAKAR,Grand-Yoff,DAKAR Point M,10-2X-0022,"-17°27'45""","14°44'48""",SASIF,Forage,1963/10/10,Infrabasaltique,75.55,-17.4625,14.7466666667,75.55
18,DAKAR,DAKAR,Grand-Yoff,DAKAR Point M bis,10-2X-0095,"-17°27'45""","14°44'48""",SASIF,Forage,1982/02/27,Infrabasaltique,84.5,-17.4625,14.7466666667,84.5
19,DAKAR,DAKAR,Grand-Yoff,DAKAR Point N bis,10-2X-0091,"-17°27'00""","14°44'50""",SASIF,Forage,1964/12/24,Quaternaire,56.3,-17.45,14.7472222222,56.3
20,DAKAR,DAKAR,Grand-Yoff,P6 B (BAD 6),10-2X-0014,"-17°26'29""","14°44'08""",COFOR,Piezometre,1978/12/13,Infrabasaltique,93.5,-17.4413888889,14.7355555556,93.5
21,DAKAR,DAKAR,Grand-Yoff,P6 B (BAD 6),10-2X-0014,"-17°26'29""","14°44'08""",COFOR,Piezometre,1978/12/13,Infrabasaltique,93.5,-17.4413888889,14.7355555556,93.5
22,DAKAR,DAKAR,Grand-Yoff,POINT M TER,10-2X-0011,"-17°27'57""","14°44'31""",CDE,Forage,2010/02/15,Infrabasaltique,86,-17.4658333333,14.7419444444,86
23,DAKAR,DAKAR,Guédiawaye,GUEDIAWAYE (HAMO 7) P2.5,10-2X-0101,"-17°22'38""","14°47'19""",SONAFOR,Piezometre,1987/02/09,Quaternaire,25,-17.3772222222,14.7886111111,25
24,DAKAR,DAKAR,Guédiawaye,GUEDIAWAYE P2.3,10-2X-0100,"-17°24'30""","14°46'15""",SONAFOR,Piezometre,1987/12/31,Quaternaire,25,-17.4083333333,14.7708333333,25
25,DAKAR,DAKAR,Guédiawaye,GUEDIAWAYE P2.4,10-2X-0099,"-17°24'37""","14°46'38""",SONAFOR,Piezometre,1987/12/31,Quaternaire,35,-17.4102777778,14.7772222222,35
26,DAKAR,DAKAR,Guédiawaye,GUEDIAWAYE P3.3,10-2X-0092,"-17°19'59""","14°47'48""",SONAFOR,Piezometre,1988/05/20,Quaternaire,31,-17.3330555556,14.7966666667,31
27,DAKAR,DAKAR,Hann Bel Air,DAKAR,10-2X-0086,"-17°26'15""","14°42'37""",FORENCO,Sondage,1959/04/28,,1.41,-17.4375,14.7102777778,1.41
28,DAKAR,DAKAR,Hann Bel Air,DAKAR,10-2X-0089,"-17°26'17""","14°41'45""",FORENCO,Sondage,1958/04/04,,1.78,-17.4380555556,14.6958333333,1.78
29,DAKAR,DAKAR,Hann Bel Air,DAKAR Hann P2.1,10-2X-0097,"-17°26'05""","14°44'24""",SONAFOR,Piezometre,1987/01/24,Quaternaire,25,-17.4347222222,14.74,25
30,DAKAR,DAKAR,Hann Bel Air,HANN PIB1,10-2X-0126,"-17°25'57""","14°43'41""",TREVI Spa,Piezometre,1997/10/31,Infrabasaltique,27,-17.4325,14.7280555556,27
31,DAKAR,DAKAR,Malika,MALIKA P3.4,10-3X-0314,"-17°19'58""","14°47'41""",SONAFOR,Piezometre,1988/05/06,Quaternaire,31,-17.3327777778,14.7947222222,31
32,DAKAR,DAKAR,Malika,MBEUBEUSS (MALIKA),10-3X-0265,"-17°19'30""","14°47'40""",SASIF,Piezometre,1990/08/07,Quaternaire,20,-17.325,14.7944444444,20
33,DAKAR,DAKAR,Malika,MBEUBEUSS (MALIKA),10-3X-0266,"-17°19'10""","14°48'50""",SASIF,Piezometre,1990/08/16,Quaternaire,35,-17.3194444444,14.8138888889,35
34,DAKAR,DAKAR,Malika,MBEUBEUSS (MALIKA),10-3X-0267,"-17°19'40""","14°47'20""",SASIF,Piezometre,1990/08/09,Quaternaire,20,-17.3277777778,14.7888888889,20
35,DAKAR,DAKAR,Médina,DAKAR,10-2X-0087,"-17°27'15""","14°40'30""",FORENCO,Sondage,1956/11/15,,1.13,-17.4541666667,14.675,1.13
36,DAKAR,DAKAR,Mermoz-Sacré-Coeur,DAKAR Fort A,10-2X-0019,"-17°28'24""","14°43'35""",HYDRAF,Forage,1959/02/12,Infrabasaltique,93.4,-17.4733333333,14.7263888889,93.4
37,DAKAR,DAKAR,Mermoz-Sacré-Coeur,DAKAR FORT A,10-2X-0390,"-17°28'22""","14°43'33""",HYDRAF,Forage,1948/04/15,Infrabasaltique,93.4,-17.4727777778,14.7258333333,93.4
38,DAKAR,DAKAR,Mermoz-Sacré-Coeur,DAKAR Fort A bis,10-2X-0020,"-17°28'23""","14°43'34""",SASIF,Forage,1979/08/06,Infrabasaltique,102.5,-17.4730555556,14.7261111111,102.5
39,DAKAR,DAKAR,Mermoz-Sacré-Coeur,SOTRAC  P 1 (BAD 1),10-2X-0007,"-17°28'31""","14°42'36""",COFOR,Piezometre,1979/01/10,Infrabasaltique,91.75,-17.4752777778,14.71,91.75
40,DAKAR,DAKAR,Ngor,DAKAR Almadies,10-2X-0024,"-17°31'37""","14°44'40""",SONAFOR,Sondage,1978/07/13,,87,-17.5269444444,14.7444444444,87
41,DAKAR,DAKAR,Ngor,DAKAR Mamelles P2 Bas,10-2X-0008,"-17°30'30""","14°44'06""",COFOR,Piezometre,1979/01/05,Infrabasaltique,79.5,-17.5083333333,14.735,79.5
42,DAKAR,DAKAR,Ngor,P2 H (BAD2),10-2X-0121,"-17°30'28""","14°44'02""",COFOR,Piezometre,1979/01/05,Infrabasaltique,79.5,-17.5077777778,14.7338888889,79.5
43,DAKAR,DAKAR,Ngor,P2 H (BAD2),10-2X-0121,"-17°30'28""","14°44'02""",COFOR,Piezometre,1979/01/05,Infrabasaltique,79.5,-17.5077777778,14.7338888889,79.5
44,DAKAR,DAKAR,Ngor,P3 B (BAD3),10-2X-0009,"-17°29'59""","14°45'05""",COFOR,Piezometre,1979/01/15,Infrabasaltique,80.6,-17.4997222222,14.7513888889,80.6
45,DAKAR,DAKAR,Ngor,P3 H (BAD3),10-2X-0122,"-17°29'53""","14°45'10""",COFOR,Piezometre,1979/01/15,Infrabasaltique,80.6,-17.4980555556,14.7527777778,80.6
46,DAKAR,DAKAR,Ngor,P3 H (BAD3),10-2X-0122,"-17°29'53""","14°45'10""",COFOR,Piezometre,1979/01/15,Infrabasaltique,80.6,-17.4980555556,14.7527777778,80.6
47,DAKAR,DAKAR,Ouakam,ALMADIES P2 bas bis,10-2X-0392,"-17°30'10""","14°43'30""",HICS Sa,Piezometre,2007/08/04,Infrabasaltique,80,-17.5027777778,14.725,80
48,DAKAR,DAKAR,Ouakam,ALMADIES P2 haut bis,10-2X-0391,"-17°30'10""","14°43'30""",HICS Sa,Piezometre,2007/09/30,Infrabasaltique,34,-17.5027777778,14.725,34
49,DAKAR,DAKAR,Ouakam,DAKAR Ouakam Point B Puits 13,10-2X-0025,"-17°29'10""","14°43'08""",HYDRAF,Forage,1939/05/13,Infrabasaltique,64.62,-17.4861111111,14.7188888889,64.62
50,DAKAR,DAKAR,Ouakam,OUAKAM PIB2,10-2X-0127,"-17°29'11""","14°43'59""",TREVI Spa,Piezometre,1989/11/12,Infrabasaltique,70,-17.4863888889,14.7330555556,70
51,DAKAR,DAKAR,Parcelles Assainies,DAKAR Camberene,10-2X-0015,"-17°27'08""","14°45'19""",HYDRAF,Forage,1951/10/22,Quaternaire,94.5,-17.4522222222,14.7552777778,94.5
52,DAKAR,DAKAR,Parcelles Assainies,DAKAR Camberene,10-2X-0016,"-17°27'07""","14°45'18""",SONAFOR,Forage,1979/12/02,Quaternaire,92,-17.4519444444,14.755,92
53,DAKAR,DAKAR,Parcelles Assainies,PARCELLES ASSAINIES,10-2X-0131,"-17°27'03""","14°45'01""",SASIF,Forage,1998/11/23,Quaternaire,93,-17.4508333333,14.7502777778,93
54,DAKAR,DAKAR,Parcelles Assainies,PARCELLES ASSAINIES PIB3,10-2X-0128,"-17°26'18""","14°45'49""",TREVI Spa,Piezometre,1997/11/15,Quaternaire,30,-17.4383333333,14.7636111111,30
55,DAKAR,DAKAR,Patte-d'Oie,DAKAR Autoroute,10-2X-0012,"-17°27'03""","14°45'01""",HYDRAF,Forage,1954/06/02,Infrabasaltique,82.23,-17.4508333333,14.7502777778,82.23
56,DAKAR,DAKAR,Patte-d'Oie,DAKAR Autoroute (Ancien),10-2X-0017,"-17°27'03""","14°44'56""",COFOR,Forage,1973/01/25,Infrabasaltique,85.7,-17.4508333333,14.7488888889,85.7
57,DAKAR,DAKAR,Pikine,Thiaroye F1 bis,10-2X-0039,"-17°23'11""","14°46'44""",SASIF,Forage,1962/11/21,Quaternaire,49,-17.3863888889,14.7788888889,49
58,DAKAR,DAKAR,Pikine,Thiaroye F1 bis,10-2X-0077,"-17°23'00""","14°46'37""",SASIF,Forage,1962/11/21,Quaternaire,49,-17.3833333333,14.7769444444,49
59,DAKAR,DAKAR,Pikine,Thiaroye F1 ter,10-2X-0062,"-17°23'00""","14°46'37""",INTRAFOR,Forage,1980/11/21,Quaternaire,60,-17.3833333333,14.7769444444,60
60,DAKAR,DAKAR,Pikine,Thiaroye F10,10-2X-0047,"-17°21'38""","14°44'53""",SASIF,Forage,1950/12/19,Quaternaire,36.4,-17.3605555556,14.7480555556,36.4
61,DAKAR,DAKAR,Pikine,Thiaroye F11 bis,10-2X-0036,"-17°21'31""","14°45'15""",SASIF,Forage,1963/07/25,Quaternaire,42.8,-17.3586111111,14.7541666667,42.8
62,DAKAR,DAKAR,Pikine,Thiaroye F11-R1,10-2X-0035,"-17°21'31""","14°45'10""",SASIF,Forage,,Quaternaire,35,-17.3586111111,14.7527777778,35
63,DAKAR,DAKAR,Pikine,Thiaroye F12,10-2X-0048,"-17°21'00""","14°45'06""",SASIF,Forage,1956/05/25,Quaternaire,33.5,-17.35,14.7516666667,33.5
64,DAKAR,DAKAR,Pikine,Thiaroye F13,10-2X-0052,"-17°22'00""","14°45'00""",SASIF,Forage,1954/01/30,Quaternaire,34,-17.3666666667,14.75,34
65,DAKAR,DAKAR,Pikine,Thiaroye F14,10-2X-0049,"-17°22'40""","14°46'10""",SASIF,Forage,1952/10/05,Quaternaire,47.4,-17.3777777778,14.7694444444,47.4
66,DAKAR,DAKAR,Pikine,Thiaroye F15,10-2X-0050,"-17°22'00""","14°46'00""",SASIF,Forage,1954/03/13,Quaternaire,37.73,-17.3666666667,14.7666666667,37.73
67,DAKAR,DAKAR,Pikine,Thiaroye F15 bis,10-2X-0051,"-17°22'01""","14°45'59""",SASIF,Forage,1974/02/26,Quaternaire,36.83,-17.3669444444,14.7663888889,36.83
68,DAKAR,DAKAR,Pikine,Thiaroye F17 bis,10-2X-0041,"-17°22'52""","14°45'38""",SASIF,Forage,1977/02/26,Quaternaire,50,-17.3811111111,14.7605555556,50
69,DAKAR,DAKAR,Pikine,Thiaroye F18,10-2X-0028,"-17°22'36""","14°45'37""",SASIF,Forage,1956/03/23,Quaternaire,38.1,-17.3766666667,14.7602777778,38.1
70,DAKAR,DAKAR,Pikine,Thiaroye F19 bis,10-2X-0040,"-17°22'15""","14°46'07""",SONAFOR,Forage,1978/02/21,Quaternaire,52,-17.3708333333,14.7686111111,52
71,DAKAR,DAKAR,Pikine,Thiaroye F2,10-2X-0042,"-17°22'52""","14°45'50""",SASIF,Forage,1954/10/14,Quaternaire,41.4,-17.3811111111,14.7638888889,41.4
72,DAKAR,DAKAR,Pikine,Thiaroye F20,10-2X-0030,"-17°22'25""","14°45'48""",SASIF,Forage,1957/03/13,Quaternaire,36,-17.3736111111,14.7633333333,36
73,DAKAR,DAKAR,Pikine,Thiaroye F21,10-2X-0032,"-17°21'58""","14°46'01""",SASIF,Forage,1964/01/09,Quaternaire,42,-17.3661111111,14.7669444444,42
74,DAKAR,DAKAR,Pikine,Thiaroye F21 bis,10-2X-0038,"-17°21'58""","14°46'00""",SONAFOR,Forage,1977/08/02,Quaternaire,45.5,-17.3661111111,14.7666666667,45.5
75,DAKAR,DAKAR,Pikine,Thiaroye F22,10-2X-0033,"-17°22'38""","14°46'08""",SASIF,Forage,1964/03/19,Quaternaire,42.2,-17.3772222222,14.7688888889,42.2
76,DAKAR,DAKAR,Pikine,Thiaroye F22 bis,10-2X-0037,"-17°22'42""","14°46'20""",SONAFOR,Forage,1979/06/14,Quaternaire,53,-17.3783333333,14.7722222222,53
77,DAKAR,DAKAR,Pikine,Thiaroye F23,10-2X-0034,"-17°21'52""","14°46'21""",SASIF,Forage,1964/05/14,Quaternaire,47,-17.3644444444,14.7725,47
78,DAKAR,DAKAR,Pikine,Thiaroye F4,10-2X-0043,"-17°22'22""","14°45'28""",SIF,Forage,1949/12/03,Quaternaire,35.5,-17.3727777778,14.7577777778,35.5
79,DAKAR,DAKAR,Pikine,Thiaroye F5,10-2X-0044,"-17°21'36""","14°46'22""",SASIF,Forage,1954/07/05,Quaternaire,42.1,-17.36,14.7727777778,42.1
80,DAKAR,DAKAR,Pikine,Thiaroye F6,10-2X-0045,"-17°21'30""","14°46'08""",SASIF,Forage,1949/12/16,Quaternaire,26.5,-17.3583333333,14.7688888889,26.5
81,DAKAR,DAKAR,Pikine,Thiaroye F8,10-2X-0046,"-17°20'05""","14°45'00""",SASIF,Forage,1956/05/01,Quaternaire,80,-17.3347222222,14.75,80
82,DAKAR,DAKAR,Pikine,Thiaroye Nord 1,10-2X-0031,"-17°23'00""","14°46'37""",HYDRAF,Forage,1961/05/08,Quaternaire,75.85,-17.3833333333,14.7769444444,75.85
83,DAKAR,DAKAR,Pikine,Thiaroye  F19 (Ancien),10-2X-0029,"-17°22'12""","14°46'05""",SASIF,Forage,1957/01/08,Quaternaire,38.3,-17.37,14.7680555556,38.3
84,DAKAR,DAKAR,Thiaroye,Thiaroye CAMP MILITAIRE P 3.2,10-2X-0090,"-17°22'33""","14°45'00""",SONAFOR,Piezometre,1989/01/21,Quaternaire,31,-17.3758333333,14.75,31
85,DAKAR,DAKAR,Thiaroye,Thiaroye F11-R1,10-2X-0063,"-17°21'35""","14°45'10""",SASIF,Sondage,1963/04/18,Quaternaire,35,-17.3597222222,14.7527777778,35
86,DAKAR,DAKAR,Thiaroye,Thiaroye F11-R2,10-2X-0064,"-17°21'35""","14°45'10""",SASIF,Sondage,1963/04/23,Quaternaire,33,-17.3597222222,14.7527777778,33
87,DAKAR,DAKAR,Thiaroye,Thiaroye F17 (Ancien),10-2X-0027,"-17°22'50""","14°45'29""",SASIF,Sondage,1954/08/03,Quaternaire,38,-17.3805555556,14.7580555556,38
88,DAKAR,DAKAR,Thiaroye,Thiaroye P-F1,10-2X-0061,"-17°23'01""","14°46'37""",SASIF,Piezometre,1957/09/04,Quaternaire,20.5,-17.3836111111,14.7769444444,20.5
89,DAKAR,DAKAR,Thiaroye,Thiaroye S1,10-2X-0065,"-17°21'45""","14°45'45""",SASIF,Sondage,1956/12/07,Quaternaire,37.6,-17.3625,14.7625,37.6
90,DAKAR,DAKAR,Thiaroye,Thiaroye S1,10-2X-0075,"-17°23'07""","14°44'37""",SASIF,Sondage,1957/09/17,Quaternaire,31,-17.3852777778,14.7436111111,31
91,DAKAR,DAKAR,Thiaroye,Thiaroye S1 F17,10-2X-0070,"-17°22'52""","14°45'30""",SASIF,Sondage,1955/11/14,Quaternaire,40,-17.3811111111,14.7583333333,40
92,DAKAR,DAKAR,Thiaroye,Thiaroye S13,10-2X-0081,"-17°23'52""","14°46'41""",SASIF,Sondage,1955/10/01,Quaternaire,79,-17.3977777778,14.7780555556,79
93,DAKAR,DAKAR,Thiaroye,Thiaroye S2,10-2X-0060,"-17°23'00""","14°46'55""",SASIF,Sondage,1962/11/21,Quaternaire,54,-17.3833333333,14.7819444444,54
94,DAKAR,DAKAR,Thiaroye,Thiaroye S2,10-2X-0066,"-17°21'45""","14°45'37""",SASIF,Sondage,1956/12/11,Quaternaire,38,-17.3625,14.7602777778,38
95,DAKAR,DAKAR,Thiaroye,Thiaroye S2 F17,10-2X-0071,"-17°22'52""","14°45'30""",SASIF,Sondage,1956/11/21,Quaternaire,28.2,-17.3811111111,14.7583333333,28.2
96,DAKAR,DAKAR,Thiaroye,Thiaroye S2 P140,10-2X-0076,"-17°23'07""","14°44'36""",SASIF,Piezometre,1957/09/25,Quaternaire,40,-17.3852777778,14.7433333333,40
97,DAKAR,DAKAR,Thiaroye,Thiaroye S21-A,10-2X-0053,"-17°21'58""","14°46'02""",SASIF,Sondage,1963/05/08,Quaternaire,28.8,-17.3661111111,14.7672222222,28.8
98,DAKAR,DAKAR,Thiaroye,Thiaroye S21-B,10-2X-0054,"-17°22'00""","14°46'00""",SASIF,Sondage,1963/05/23,Quaternaire,44.15,-17.3666666667,14.7666666667,44.15
99,DAKAR,DAKAR,Thiaroye,Thiaroye S21-C,10-2X-0055,"-17°21'25""","14°46'10""",SASIF,Sondage,1963/08/26,Quaternaire,41.25,-17.3569444444,14.7694444444,41.25
100,DAKAR,DAKAR,Thiaroye,Thiaroye S21-D,10-2X-0056,"-17°21'25""","14°46'10""",SASIF,Sondage,1963/09/21,Quaternaire,42,-17.3569444444,14.7694444444,42
101,DAKAR,DAKAR,Thiaroye,Thiaroye S21-E,10-2X-0057,"-17°21'25""","14°46'10""",SASIF,Sondage,1963/10/11,Quaternaire,47.45,-17.3569444444,14.7694444444,47.45
102,DAKAR,DAKAR,Thiaroye,Thiaroye S21-G,10-2X-0058,"-17°21'25""","14°46'10""",SASIF,Sondage,1963/12/31,Quaternaire,48,-17.3569444444,14.7694444444,48
103,DAKAR,DAKAR,Thiaroye,Thiaroye S21-H,10-2X-0059,"-17°21'25""","14°46'10""",SASIF,Sondage,1964/01/24,Quaternaire,48,-17.3569444444,14.7694444444,48
104,DAKAR,DAKAR,Thiaroye,Thiaroye S3,10-2X-0067,"-17°22'53""","14°45'36""",SASIF,Sondage,1956/12/13,Quaternaire,36.6,-17.3813888889,14.76,36.6
105,DAKAR,DAKAR,Thiaroye,Thiaroye S3 F17,10-2X-0072,"-17°22'52""","14°45'30""",SASIF,Piezometre,1955/11/28,Quaternaire,40,-17.3811111111,14.7583333333,40
106,DAKAR,DAKAR,Thiaroye,Thiaroye S4,10-2X-0068,"-17°22'55""","14°45'39""",SASIF,Sondage,1957/01/10,Quaternaire,38,-17.3819444444,14.7608333333,38
107,DAKAR,DAKAR,Thiaroye,Thiaroye S4 F17,10-2X-0073,"-17°22'52""","14°45'30""",SASIF,Piezometre,1955/12/03,Quaternaire,40,-17.3811111111,14.7583333333,40
108,DAKAR,DAKAR,Thiaroye,Thiaroye S5 F17,10-2X-0074,"-17°22'52""","14°45'30""",SASIF,Piezometre,1955/12/12,Quaternaire,41,-17.3811111111,14.7583333333,41
109,DAKAR,DAKAR,Thiaroye,Thiaroye SS2,10-2X-0078,"-17°23'48""","14°45'43""",SASIF,Sondage,1951/07/28,Quaternaire,61.4,-17.3966666667,14.7619444444,61.4
110,DAKAR,DAKAR,Thiaroye,Thiaroye SS39,10-2X-0080,"-17°23'30""","14°45'50""",SASIF,Sondage,1955/10/01,Quaternaire,48,-17.3916666667,14.7638888889,48
111,DAKAR,DAKAR,Thiaroye,Thiaroye SS65,10-2X-0079,"-17°23'50""","14°45'38""",SASIF,Sondage,1955/10/01,Quaternaire,51,-17.3972222222,14.7605555556,51
112,DAKAR,DAKAR,Thiaroye,Thiaroye SUR MER P3.1,10-2X-0069,"-17°22'14""","14°44'33""",SONAFOR,Piezometre,1988/04/26,Quaternaire,35,-17.3705555556,14.7425,35
113,DAKAR,DAKAR,Yoff,Aeroport Yoff BAD P4 Haut,10-2X-0123,"-17°28'45""","14°45'20""",COFOR,Piezometre,1978/12/28,Infrabasaltique,95,-17.4791666667,14.7555555556,95
114,DAKAR,DAKAR,Yoff,"DAKAR AEROPORT YOFF
P4 Bas",10-2X-0010,"-17°28'45""","14°45'20""",COFOR,Piezometre,1978/12/28,Infrabasaltique,95,-17.4791666667,14.7555555556,95
115,DAKAR,DAKAR,Yoff,DAKAR Terme Nord,10-2X-0005,"-17°28'21""","14°44'32""",HYDRAF,Forage,1947/12/31,Infrabasaltique,103.8,-17.4725,14.7422222222,103.8
116,DAKAR,DAKAR,Yoff,DAKAR Terme Nord,10-2X-0021,"-17°28'23""","14°44'36""",SASIF,Forage,1967/11/18,Infrabasaltique,87.7,-17.4730555556,14.7433333333,87.7
117,DAKAR,DAKAR,Yoff,FORAGE AUTOROUTE BIS DAKAR,10-2X-0130,"-17°29'05""","14°44'35""",SASIF,Forage,1998/11/23,Infrabasaltique,93,-17.4847222222,14.7430555556,93
118,DAKAR,DAKAR,Yoff,OUAKAM  TERME SUD,10-2X-0006,"-17°29'12""","14°44'03""",SASIF,Forage,1973/04/05,Infrabasaltique,91.75,-17.4866666667,14.7341666667,91.75
119,DAKAR,DAKAR,Yoff,P6 H (BAD 6),10-2X-0125,"-17°27'20""","14°45'30""",COFOR,Piezometre,1978/12/13,Infrabasaltique,93.5,-17.4555555556,14.7583333333,93.5
120,DAKAR,RUFISQUE,Sangalkam,BAMBILOR 1,10-3X-0172,"-17°10'33""","14°47'50""",FORENCO,Sondage,1960/05/06,,2.07,-17.1758333333,14.7972222222,2.07
121,DAKAR,RUFISQUE,Sangalkam,BAMBYLOR,10-3X-0173,"-17°14'03""","14°44'25""",FORENCO,Sondage,1961/12/19,,1.85,-17.2341666667,14.7402777778,1.85
122,DAKAR,RUFISQUE,Sangalkam,BAMBYLOR P2.11,10-3X-0212,"-17°10'53""","14°48'20""",SONAFOR,Sondage,1987/03/04,Quaternaire,13,-17.1813888889,14.8055555556,13
123,DAKAR,RUFISQUE,Sangalkam,DIAMNIADIO,10-3X-0179,"-17°10'39""","14°47'00""",FORENCO,Sondage,1960/01/01,,1.94,-17.1775,14.7833333333,1.94
124,DAKAR,RUFISQUE,Sangalkam,DIAMNIADIO,10-3X-0181,"-17°10'59""","14°46'16""",FORENCO,Sondage,1961/01/21,,1.25,-17.1830555556,14.7711111111,1.25
125,DAKAR,RUFISQUE,Sangalkam,DIAMNIADIO 4,10-3X-0177,"-17°10'50""","14°46'30""",FORENCO,Sondage,1959/12/31,,1.62,-17.1805555556,14.775,1.62
126,DAKAR,RUFISQUE,Sangalkam,GOROM I,10-3X-0263,"-17°10'20""","14°47'35""",SASIF,Forage,1986/02/08,Paleocene,165.5,-17.1722222222,14.7930555556,165.5
127,DAKAR,RUFISQUE,Sangalkam,GOUYE GUEWEL  P2.10,10-3X-0211,"-17°12'18""","14°49'46""",SONAFOR,Piezometre,1987/02/28,Quaternaire,18,-17.205,14.8294444444,18
128,DAKAR,RUFISQUE,Sangalkam,NDIAKHIRAT NDIOBENE,10-3X-0116,"-17°12'17""","14°46'03""",SONAFOR,Sondage,1977/09/23,Maastrichtien,100,-17.2047222222,14.7675,100
129,DAKAR,RUFISQUE,Sangalkam,NDIAKHIRAT NDIOBENE,10-3X-0117,"-17°12'20""","14°45'55""",SONAFOR,Sondage,1977/12/04,Maastrichtien,420,-17.2055555556,14.7652777778,420
130,DAKAR,RUFISQUE,Sangalkam,NDIOUGOUYE,10-3X-0183,"-17°11'16""","14°46'35""",FORENCO,Sondage,1961/01/03,,1.26,-17.1877777778,14.7763888889,1.26
131,DAKAR,RUFISQUE,Sangalkam,NIAGA F3,10-3X-0247,"-17°14'29""","14°47'58""",,Forage,1985/10/31,Quaternaire,35,-17.2413888889,14.7994444444,35
132,DAKAR,RUFISQUE,Sangalkam,NIAGA F4,10-3X-0248,"-17°14'16""","14°47'57""",,Forage,1985/11/15,Quaternaire,30,-17.2377777778,14.7991666667,30
133,DAKAR,RUFISQUE,Sangalkam,NIAGA F5,10-3X-0249,"-17°14'40""","14°48'42""",,Forage,1985/12/14,Quaternaire,28,-17.2444444444,14.8116666667,28
134,DAKAR,RUFISQUE,Sangalkam,NIAGA NIASSENE F1,10-3X-0288,"-17°14'30""","14°49'18""",SONAFOR,Forage,1986/06/28,Quaternaire,18,-17.2416666667,14.8216666667,18
135,DAKAR,RUFISQUE,Sangalkam,NIAGA NIASSENE F2,10-3X-0284,"-17°14'38""","14°49'03""",SONAFOR,Forage,1986/07/11,Quaternaire,17,-17.2438888889,14.8175,17
136,DAKAR,RUFISQUE,Sangalkam,NIAGA NIASSENE F3,10-3X-0286,"-17°14'30""","14°49'09""",SONAFOR,Forage,1986/08/09,Quaternaire,27,-17.2416666667,14.8191666667,27
